feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z125,125,in_feedback_loop,0.33285448515926186,4.3199977039561554e-104,0.33285448515926186,0.0,0.0,True
z126,126,in_feedback_loop,-0.734927538184931,0.0,0.734927538184931,0.0,0.0,True
z129,129,in_feedback_loop,0.34282247507080776,1.052003768750181e-110,0.34282247507080776,0.0,0.0,True
z131,131,in_feedback_loop,0.23130609907195185,9.947566483953266e-50,0.23130609907195185,0.0,0.0,True
z132,132,in_feedback_loop,0.2534477969616429,1.1408657278035013e-59,0.2534477969616429,0.0,0.0,True
z134,134,in_feedback_loop,-0.02059773781791848,0.19276385284132663,0.02059773781791848,0.143,0.15253333333333333,False
z136,136,in_feedback_loop,0.24217727707726158,1.7530281454425763e-54,0.24217727707726158,0.0,0.0,True
z154,154,in_feedback_loop,0.34355571295103304,3.356133724851517e-111,0.34355571295103304,0.0,0.0,True
z169,169,in_feedback_loop,0.24568456607495537,4.551278477595534e-56,0.24568456607495537,0.0,0.0,True
z173,173,in_feedback_loop,0.22722757068808225,5.2363307187550924e-48,0.22722757068808225,0.0,0.0,True
z178,178,in_feedback_loop,0.2262725028380575,1.309900066983853e-47,0.2262725028380575,0.0,0.0,True
z182,182,in_feedback_loop,0.3244328797678129,1.0818484630777554e-98,0.3244328797678129,0.0,0.0,True
z187,187,in_feedback_loop,0.4303630875615563,4.410333480842977e-180,0.4303630875615563,0.0,0.0,True
z188,188,in_feedback_loop,-0.028848099411825593,0.06810319179350333,0.028848099411825593,0.048,0.055854545454545455,False
z192,192,in_feedback_loop,0.21811379956368057,2.780691556876802e-44,0.21811379956368057,0.0,0.0,True
z195,195,in_feedback_loop,-0.02040121634599869,0.19704468975650968,0.02040121634599869,0.145,0.15296703296703296,False
z201,201,in_feedback_loop,0.24718322281702557,9.392878807845727e-57,0.24718322281702557,0.0,0.0,True
z204,204,in_feedback_loop,0.2837557145186953,5.893751570393803e-75,0.2837557145186953,0.0,0.0,True
z207,207,in_feedback_loop,0.3183446395947167,6.77901454232218e-95,0.3183446395947167,0.0,0.0,True
z212,212,in_feedback_loop,0.43207545740653364,1.1689109231615867e-181,0.43207545740653364,0.0,0.0,True
z217,217,in_feedback_loop,0.33557334781069365,7.174895440924655e-106,0.33557334781069365,0.0,0.0,True
z224,224,in_feedback_loop,-0.029585240683888958,0.061350678256874375,0.029585240683888958,0.046,0.053853658536585365,False
z225,225,in_feedback_loop,0.20607261092040655,1.2938432742165181e-39,0.20607261092040655,0.0,0.0,True
z235,235,in_feedback_loop,0.23383751625081967,8.172380170750836e-51,0.23383751625081967,0.0,0.0,True
z237,237,in_feedback_loop,0.3197617542667145,9.020482344305441e-96,0.3197617542667145,0.0,0.0,True
z239,239,in_feedback_loop,0.21980913816997819,5.805286751041755e-45,0.21980913816997819,0.0,0.0,True
z244,244,in_feedback_loop,0.38215028796225675,2.9034941701012545e-139,0.38215028796225675,0.0,0.0,True
z252,252,in_feedback_loop,0.22406590630264792,1.0720839226857531e-46,0.22406590630264792,0.0,0.0,True
z8,8,in_single_input_module,-0.12023464289823105,2.3544353138292787e-14,0.12023464289823105,0.0,0.0,True
z9,9,in_single_input_module,-0.0942395773369839,2.3484454860275603e-09,0.0942395773369839,0.0,0.0,True
z36,36,in_single_input_module,-0.14643247503798767,1.2962038761389694e-20,0.14643247503798767,0.0,0.0,True
z37,37,in_single_input_module,-0.11151617184859439,1.5187398243199246e-12,0.11151617184859439,0.0,0.0,True
z43,43,in_single_input_module,-0.01201660225374078,0.44738218155891796,0.01201660225374078,0.601,0.6041465968586387,False
z47,47,in_single_input_module,-0.07811204882738923,7.565514989449152e-07,0.07811204882738923,0.0,0.0,True
z58,58,in_single_input_module,-0.047147078967297244,0.002858395637119559,0.047147078967297244,0.003,0.0037402597402597403,True
z63,63,in_single_input_module,-0.08519187617500187,6.809165457598094e-08,0.08519187617500187,0.0,0.0,True
z64,64,in_single_input_module,-0.08427316301494014,9.411540416956382e-08,0.08427316301494014,0.0,0.0,True
z65,65,in_single_input_module,-0.027225185847755302,0.0851324178210105,0.027225185847755302,0.052,0.05978443113772455,False
z71,71,in_single_input_module,-0.08380473977291966,1.1085916090665168e-07,0.08380473977291966,0.0,0.0,True
z73,73,in_single_input_module,-0.08564225715711232,5.802995120953498e-08,0.08564225715711232,0.0,0.0,True
z77,77,in_single_input_module,-0.14198131154598173,1.8363975727229481e-19,0.14198131154598173,0.0,0.0,True
z101,101,in_single_input_module,-0.08465548289427655,8.228884225353811e-08,0.08465548289427655,0.0,0.0,True
z107,107,in_single_input_module,-0.08529277302296864,6.570033534943122e-08,0.08529277302296864,0.0,0.0,True
z112,112,in_single_input_module,-0.021568800313433317,0.1726106870502783,0.021568800313433317,0.177,0.18270967741935482,False
z117,117,in_single_input_module,-0.12824164118735787,3.8939209608846127e-16,0.12824164118735787,0.0,0.0,True
z118,118,in_single_input_module,-0.08125229899617749,2.664540177953085e-07,0.08125229899617749,0.0,0.0,True
z121,121,in_single_input_module,-0.08324928587954578,1.3446365345355146e-07,0.08324928587954578,0.0,0.0,True
z122,122,in_single_input_module,-0.08224546581978623,1.9000394187923154e-07,0.08224546581978623,0.0,0.0,True
z125,125,in_single_input_module,-0.11321477235138774,6.910648884688304e-13,0.11321477235138774,0.0,0.0,True
z126,126,in_single_input_module,0.2928259569190359,6.381381784614073e-80,0.2928259569190359,0.0,0.0,True
z129,129,in_single_input_module,-0.11733618406850632,9.738609102805942e-14,0.11733618406850632,0.0,0.0,True
z131,131,in_single_input_module,-0.08110006235609354,2.8053289075213046e-07,0.08110006235609354,0.0,0.0,True
z132,132,in_single_input_module,-0.08631983084663078,4.555348525577487e-08,0.08631983084663078,0.0,0.0,True
z134,134,in_single_input_module,-0.01916784557052946,0.22550723436646736,0.01916784557052946,0.151,0.15756521739130433,False
z136,136,in_single_input_module,-0.08303162362054106,1.449810861830644e-07,0.08303162362054106,0.0,0.0,True
z154,154,in_single_input_module,-0.1143279049238555,4.098696093532862e-13,0.1143279049238555,0.0,0.0,True
z169,169,in_single_input_module,-0.08015188391325019,3.858008825071318e-07,0.08015188391325019,0.0,0.0,True
z173,173,in_single_input_module,-0.08352120974977183,1.2235745777164006e-07,0.08352120974977183,0.0,0.0,True
z178,178,in_single_input_module,-0.08090705828586198,2.9941689347162897e-07,0.08090705828586198,0.0,0.0,True
z182,182,in_single_input_module,-0.12036718872433724,2.2046053442019587e-14,0.12036718872433724,0.0,0.0,True
z187,187,in_single_input_module,-0.1454727910465164,2.3118577467203752e-20,0.1454727910465164,0.0,0.0,True
z188,188,in_single_input_module,-0.02684546814884324,0.08957728453985214,0.02684546814884324,0.059,0.06624561403508772,False
z192,192,in_single_input_module,-0.08639353803440894,4.4364704923011107e-08,0.08639353803440894,0.0,0.0,True
z195,195,in_single_input_module,-0.018984966593316017,0.22996554397127839,0.018984966593316017,0.15,0.15737704918032785,False
z201,201,in_single_input_module,-0.08697954809844895,3.5925262121568276e-08,0.08697954809844895,0.0,0.0,True
z204,204,in_single_input_module,-0.09283216596018476,4.051139573564696e-09,0.09283216596018476,0.0,0.0,True
z207,207,in_single_input_module,-0.11432457172869323,4.105143629175623e-13,0.11432457172869323,0.0,0.0,True
z212,212,in_single_input_module,-0.1467646721902,1.0599761855885455e-20,0.1467646721902,0.0,0.0,True
z217,217,in_single_input_module,-0.12022227238338676,2.3689194164765526e-14,0.12022227238338676,0.0,0.0,True
z224,224,in_single_input_module,-0.02753143717085316,0.08167888900266773,0.02753143717085316,0.081,0.08937931034482759,False
z225,225,in_single_input_module,-0.06784221413537811,1.752253930378473e-05,0.06784221413537811,0.0,0.0,True
z235,235,in_single_input_module,-0.07602711910748441,1.4805556166449893e-06,0.07602711910748441,0.0,0.0,True
z237,237,in_single_input_module,-0.1144219956800646,3.9207376042978156e-13,0.1144219956800646,0.0,0.0,True
z239,239,in_single_input_module,-0.08558609358339067,5.920124550431198e-08,0.08558609358339067,0.0,0.0,True
z244,244,in_single_input_module,-0.12884110296414863,2.8338621661749376e-16,0.12884110296414863,0.0,0.0,True
z252,252,in_single_input_module,-0.08569519617367485,5.694647641442165e-08,0.08569519617367485,0.0,0.0,True
z8,8,in_cascade,-0.07865742775701862,6.329054691354049e-07,0.07865742775701862,0.0,0.0,True
z9,9,in_cascade,-0.05840683341122453,0.0002190460478199732,0.05840683341122453,0.0,0.0,True
z36,36,in_cascade,-0.08312468413582275,1.403905361859277e-07,0.08312468413582275,0.0,0.0,True
