variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
topk,in_cascade,52,4012,11,22,11,0.5,0.2892561983471075,0.5,0.41362173180355,0.5
topk,in_cascade,52,4013,12,30,11,0.36666666666666664,0.30143540669856456,0.38516746411483255,0.376665599764879,0.3886211898137753
topk,in_cascade,52,4014,13,29,12,0.41379310344827586,0.5490196078431373,0.5686274509803921,0.4804077082337952,0.5313832709623785
topk,in_cascade,52,4015,14,18,3,0.16666666666666666,0.2444444444444444,0.4444444444444444,0.1527777777777778,0.2777777777777778
topk,in_cascade,52,4016,15,25,9,0.36,0.7152777777777778,0.5034722222222222,0.6107160813043166,0.36148148148148146
topk,in_cascade,52,4017,16,27,11,0.4074074074074074,0.5994318181818182,0.5454545454545454,0.5207447434720163,0.5247106923577511
topk,in_cascade,52,4019,17,22,15,0.6818181818181818,0.29523809523809524,0.30000000000000004,0.6028454878454877,0.6107936507936508
topk,in_cascade,52,4020,18,31,6,0.1935483870967742,0.5066666666666667,0.5,0.22121483143342227,0.1935483870967742
topk,in_cascade,52,4021,19,33,7,0.21212121212121213,0.43956043956043955,0.27197802197802196,0.21411965530629126,0.16811405985319028
switch,in_feedback_loop,0,4000,0,25,8,0.32,0.5882352941176471,0.5,0.4699585137085137,0.32
switch,in_feedback_loop,0,4001,1,29,10,0.3448275862068966,0.4789473684210527,0.5,0.3440856034529477,0.3448275862068966
switch,in_feedback_loop,0,4002,2,31,18,0.5806451612903226,0.6794871794871795,0.4700854700854701,0.7171896104984341,0.6662352986207994
switch,in_feedback_loop,0,4003,3,26,10,0.38461538461538464,0.575,0.5,0.5137942022381382,0.38461538461538464
switch,in_feedback_loop,0,4004,4,19,2,0.10526315789473684,0.8823529411764706,0.5,0.45,0.10526315789473684
switch,in_feedback_loop,0,4005,5,28,10,0.35714285714285715,0.3833333333333333,0.5,0.3142366522366522,0.35714285714285715
switch,in_feedback_loop,0,4006,6,24,4,0.16666666666666666,0.8374999999999999,0.5,0.5515873015873016,0.16666666666666666
switch,in_feedback_loop,0,4007,7,22,6,0.2727272727272727,0.6875,0.734375,0.5363247863247863,0.5806397306397306
switch,in_feedback_loop,0,4008,8,21,2,0.09523809523809523,0.21052631578947367,0.5,0.08834586466165413,0.09523809523809523
switch,in_feedback_loop,0,4009,9,24,2,0.08333333333333333,0.6363636363636364,0.5,0.22916666666666666,0.08333333333333333
switch,in_feedback_loop,0,4010,10,26,12,0.46153846153846156,0.36904761904761907,0.5,0.4203525641025641,0.46153846153846156
switch,in_feedback_loop,0,4011,11,28,14,0.5,0.6683673469387755,0.7346938775510203,0.6574836300236757,0.787878612983655
switch,in_feedback_loop,0,4012,12,22,8,0.36363636363636365,0.5982142857142857,0.5,0.5362333529903189,0.36363636363636365
switch,in_feedback_loop,0,4013,13,30,12,0.4,0.4907407407407407,0.6342592592592592,0.38567465249387445,0.5645833333333333
switch,in_feedback_loop,0,4014,14,29,10,0.3448275862068966,0.3263157894736842,0.42105263157894735,0.3575541871921182,0.3213227433486054
switch,in_feedback_loop,0,4015,15,18,6,0.3333333333333333,0.8333333333333334,0.5,0.7827380952380952,0.3333333333333333
switch,in_feedback_loop,0,4016,16,25,10,0.4,0.31333333333333335,0.5,0.3206999865123435,0.4
switch,in_feedback_loop,0,4017,17,27,8,0.2962962962962963,0.38815789473684215,0.5,0.2584085511675026,0.2962962962962963
switch,in_feedback_loop,0,4018,18,22,10,0.45454545454545453,0.4833333333333333,0.5,0.5136363636363637,0.45454545454545453
switch,in_feedback_loop,0,4019,19,22,6,0.2727272727272727,0.6770833333333334,0.5,0.3869348244348244,0.2727272727272727
switch,in_feedforward_loop,0,4000,0,25,19,0.76,0.6140350877192983,0.5,0.865209614946457,0.76
switch,in_feedforward_loop,0,4001,1,29,28,0.9655172413793104,0.7857142857142857,0.5,0.9920151256789188,0.9655172413793104
switch,in_feedforward_loop,0,4002,2,31,27,0.8709677419354839,0.5648148148148149,0.8148148148148149,0.9202184068270751,0.968533301868024
switch,in_feedforward_loop,0,4003,3,26,24,0.9230769230769231,0.08333333333333333,0.5,0.8296210065547291,0.9230769230769231
switch,in_feedforward_loop,0,4004,4,19,15,0.7894736842105263,0.41666666666666663,0.5,0.7768588137009189,0.7894736842105263
switch,in_feedforward_loop,0,4005,5,28,25,0.8928571428571429,0.5066666666666666,0.5,0.8963795111829438,0.8928571428571429
