,feature,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,variant,latent_dim,k,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert,p_empirical,p_fdr,significant_fdr
1378,z470,in_cascade,0.01511610606005407,0.3391822366565724,0.01511610606005407,-2.5019839419942666e-05,0.9987378277245319,2.5019839419942666e-05,topk,512.0,16.0,,,,,,,0.3391822366565724,0.3391822366565724,False
1379,z476,in_cascade,-0.0010380724888371647,0.9476700419436326,0.0010380724888371647,3.558725344770088e-05,0.9982047356600373,3.558725344770088e-05,topk,512.0,16.0,,,,,,,0.9476700419436326,0.9476700419436326,False
1380,z479,in_cascade,0.0003840252545035984,0.9806290272176325,0.0003840252545035984,-2.1810636701445618e-05,0.9988997218068422,2.1810636701445618e-05,topk,512.0,16.0,,,,,,,0.9806290272176325,0.9806290272176325,False
1381,z496,in_cascade,0.002221616699595671,0.8882936821688951,0.002221616699595671,2.250636992386524e-05,0.9988646242718621,2.250636992386524e-05,topk,512.0,16.0,,,,,,,0.8882936821688951,0.8882936821688951,False
1382,z504,in_cascade,0.014212890219643145,0.36883030190993615,0.014212890219643145,4.022004143414137e-06,0.9997971024474509,4.022004143414137e-06,topk,512.0,16.0,,,,,,,0.36883030190993615,0.36883030190993615,False
1383,z506,in_cascade,-0.010644998211970087,0.5009107434942222,0.010644998211970087,-3.425519655687881e-06,0.9998271932271553,3.425519655687881e-06,topk,512.0,16.0,,,,,,,0.5009107434942222,0.5009107434942222,False
1384,z1,in_feedforward_loop,-0.02040170024016784,0.1970340643057022,0.02040170024016784,-0.057398657200530556,0.0002811571246918921,0.057398657200530556,topk,512.0,32.0,,,,,,,0.1970340643057022,0.1970340643057022,False
1385,z6,in_feedforward_loop,-0.02042729745844005,0.19647259278605436,0.02042729745844005,-0.057334868977447634,0.0002855957527278789,0.057334868977447634,topk,512.0,32.0,,,,,,,0.19647259278605436,0.19647259278605436,False
1386,z11,in_feedforward_loop,-0.02041795368985394,0.1966774111601715,0.02041795368985394,-0.05739613147920279,0.00028133163844237623,0.05739613147920279,topk,512.0,32.0,,,,,,,0.1966774111601715,0.1966774111601715,False
1387,z15,in_feedforward_loop,-0.03493057013724814,0.02716164419125926,0.03493057013724814,-0.09096012358172567,8.264413526321845e-09,0.09096012358172567,topk,512.0,32.0,,,,,,,0.02716164419125926,0.02716164419125926,True
1388,z20,in_feedforward_loop,-0.037451675890690574,0.017848669296472174,0.037451675890690574,-0.0934307921242705,3.2157303562251567e-09,0.0934307921242705,topk,512.0,32.0,,,,,,,0.017848669296472174,0.017848669296472174,True
1389,z23,in_feedforward_loop,-0.0349161238925462,0.027225270510543076,0.0349161238925462,-0.09387273613390998,2.709153192146681e-09,0.09387273613390998,topk,512.0,32.0,,,,,,,0.027225270510543076,0.027225270510543076,True
