feature,feature_idx,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,p_empirical,p_fdr,significant_fdr
z217,217,in_feedback_loop,0.3355733451257732,7.174924622905445e-106,0.3355733451257732,0.28443808842546364,2.530468024976763e-75,0.28443808842546364,0.0,0.0,True
z224,224,in_feedback_loop,-0.029585242172960477,0.06135066519777173,0.029585242172960477,-0.0023962519396216516,0.87957726429327,0.0023962519396216516,0.871,0.999,False
z225,225,in_feedback_loop,0.20607261189846232,1.2938421793313736e-39,0.20607261189846232,0.16973472380742083,3.0820876613453873e-27,0.16973472380742083,0.0,0.0,True
z235,235,in_feedback_loop,0.2338375169745559,8.172374296344125e-51,0.2338375169745559,0.1923071806855739,1.2570184905483922e-34,0.1923071806855739,0.0,0.0,True
z237,237,in_feedback_loop,0.31976175363437637,9.020490484601665e-96,0.31976175363437637,0.27028614997990846,6.442451759637754e-68,0.27028614997990846,0.0,0.0,True
z239,239,in_feedback_loop,0.21980913704930222,5.805292787923217e-45,0.21980913704930222,0.18956002406900893,1.1238382751569552e-33,0.18956002406900893,0.0,0.0,True
z244,244,in_feedback_loop,0.38215028413225627,2.903514094844128e-139,0.38215028413225627,0.3198069980914073,8.456402115616776e-96,0.3198069980914073,0.0,0.0,True
z252,252,in_feedback_loop,0.2240659017542517,1.0720885433800023e-46,0.2240659017542517,0.19215858531082985,1.4163599403413642e-34,0.19215858531082985,0.0,0.0,True
z8,8,in_single_input_module,-0.12023464268158349,2.3544355667285296e-14,0.12023464268158349,-0.13630162088760273,4.792240907269382e-18,0.13630162088760273,0.0,0.0,True
z9,9,in_single_input_module,-0.0942395767897086,2.348445987568486e-09,0.0942395767897086,-0.10544784231152327,2.2987261816002225e-11,0.10544784231152327,0.0,0.0,True
z36,36,in_single_input_module,-0.14643247403366869,1.2962046636560978e-20,0.14643247403366869,-0.1634472435053124,2.374453497055059e-25,0.1634472435053124,0.0,0.0,True
z37,37,in_single_input_module,-0.11151616911606244,1.5187417337135398e-12,0.11151616911606244,-0.12529174601326654,1.8201071257828818e-15,0.12529174601326654,0.0,0.0,True
z43,43,in_single_input_module,-0.01201660239820238,0.44738217609781356,0.01201660239820238,-0.01431860115671911,0.36527934809117707,0.01431860115671911,0.378,0.528,False
z47,47,in_single_input_module,-0.07811204867455471,7.565515366542218e-07,0.07811204867455471,-0.08975144316512185,1.2998576861626225e-08,0.08975144316512185,0.0,0.0,True
z58,58,in_single_input_module,-0.04714707476464153,0.002858398122550529,0.04714707476464153,-0.03005781180625552,0.05732058241798258,0.03005781180625552,0.07,0.09856000000000001,False
z63,63,in_single_input_module,-0.08519187681733405,6.8091639087315e-08,0.08519187681733405,-0.0870101323599835,3.553047601437191e-08,0.0870101323599835,0.0,0.0,True
z64,64,in_single_input_module,-0.08427316386367908,9.411537617326957e-08,0.08427316386367908,-0.09555198747793786,1.4023626376652785e-09,0.09555198747793786,0.0,0.0,True
z65,65,in_single_input_module,-0.027225185027539234,0.08513242722604678,0.027225185027539234,-0.00020195130188584154,0.9898124639100334,0.00020195130188584154,0.991,0.999,False
z71,71,in_single_input_module,-0.08380473963424549,1.1085916626616174e-07,0.08380473963424549,-0.09114490006554718,7.707628760591537e-09,0.09114490006554718,0.0,0.0,True
z73,73,in_single_input_module,-0.08564225704207969,5.8029953585401436e-08,0.08564225704207969,-0.09700147656572239,7.871583952801892e-10,0.09700147656572239,0.0,0.0,True
z77,77,in_single_input_module,-0.1419813121542196,1.8363969179596389e-19,0.1419813121542196,-0.15531484737503254,5.087765636016979e-23,0.15531484737503254,0.0,0.0,True
z101,101,in_single_input_module,-0.08465548239164322,8.22888568126062e-08,0.08465548239164322,-0.087450016931921,3.0297077137572555e-08,0.087450016931921,0.0,0.0,True
z107,107,in_single_input_module,-0.08529277403994122,6.570031166143702e-08,0.08529277403994122,-0.08919369104366981,1.5988315264283758e-08,0.08919369104366981,0.0,0.0,True
z112,112,in_single_input_module,-0.021568801136854176,0.17261067065618846,0.021568801136854176,0.0002858135778976787,0.9855823815319458,0.0002858135778976787,0.982,0.999,False
z117,117,in_single_input_module,-0.12824164158573742,3.893920140486508e-16,0.12824164158573742,-0.13983753218024636,6.390650905991884e-19,0.13983753218024636,0.0,0.0,True
z118,118,in_single_input_module,-0.08125229989281202,2.6645393691895535e-07,0.08125229989281202,-0.08855775430515131,2.0214137676163855e-08,0.08855775430515131,0.0,0.0,True
z121,121,in_single_input_module,-0.08324928606163595,1.3446364497154622e-07,0.08324928606163595,-0.08506320571615072,7.126373883112314e-08,0.08506320571615072,0.0,0.0,True
z122,122,in_single_input_module,-0.08224546560020521,1.900039561665939e-07,0.08224546560020521,-0.09264522822054072,4.352815423305412e-09,0.09264522822054072,0.0,0.0,True
z125,125,in_single_input_module,-0.11321477173357655,6.910650878649093e-13,0.11321477173357655,-0.12703216247861737,7.359785182029706e-16,0.12703216247861737,0.0,0.0,True
z126,126,in_single_input_module,0.2928259569971532,6.381381144587672e-80,0.2928259569971532,0.31913064217400283,2.2177642867619174e-95,0.31913064217400283,0.0,0.0,True
z129,129,in_single_input_module,-0.1173361846125732,9.738606538903589e-14,0.1173361846125732,-0.13124648033690792,7.800067979747395e-17,0.13124648033690792,0.0,0.0,True
z131,131,in_single_input_module,-0.08110006170648289,2.80532952333326e-07,0.08110006170648289,-0.08863058852679763,1.968001794376198e-08,0.08863058852679763,0.0,0.0,True
z132,132,in_single_input_module,-0.08631983070610877,4.555348755133232e-08,0.08631983070610877,-0.09645119692160092,9.810837647122216e-10,0.09645119692160092,0.0,0.0,True
z134,134,in_single_input_module,-0.019167845341034273,0.22550723992222899,0.019167845341034273,0.0002839426648036758,0.9856767479549638,0.0002839426648036758,0.995,0.999,False
z136,136,in_single_input_module,-0.08303162247433601,1.4498114360768527e-07,0.08303162247433601,-0.09227735393854083,5.011613667332541e-09,0.09227735393854083,0.0,0.0,True
z154,154,in_single_input_module,-0.11432790527069822,4.098695423138211e-13,0.11432790527069822,-0.13053875428901085,1.1429605938684701e-16,0.13053875428901085,0.0,0.0,True
z169,169,in_single_input_module,-0.08015188425122383,3.8580083893422413e-07,0.08015188425122383,-0.09244753053581578,4.695616799037835e-09,0.09244753053581578,0.0,0.0,True
z173,173,in_single_input_module,-0.08352120937221429,1.2235747382511836e-07,0.08352120937221429,-0.08822894814941568,2.2805664357578964e-08,0.08822894814941568,0.0,0.0,True
z178,178,in_single_input_module,-0.0809070578182453,2.9941694067750415e-07,0.0809070578182453,-0.08724116460996201,3.268119756932573e-08,0.08724116460996201,0.0,0.0,True
z182,182,in_single_input_module,-0.12036718765045382,2.2046065192950713e-14,0.12036718765045382,-0.1271546622114721,6.902117537565854e-16,0.1271546622114721,0.0,0.0,True
z187,187,in_single_input_module,-0.1454727903682253,2.3118586889909352e-20,0.1454727903682253,-0.1652488913083232,6.958220374322932e-26,0.1652488913083232,0.0,0.0,True
z188,188,in_single_input_module,-0.02684546807888239,0.08957728537567917,0.02684546807888239,0.00038574465658062444,0.9805423144185916,0.00038574465658062444,0.983,0.999,False
z192,192,in_single_input_module,-0.08639353800993534,4.436470531269382e-08,0.08639353800993534,-0.08662762571992058,4.0785252064752054e-08,0.08662762571992058,0.0,0.0,True
z195,195,in_single_input_module,-0.01898496589078108,0.22996556121751344,0.01898496589078108,0.0002825491881957541,0.9857470332328473,0.0002825491881957541,0.995,0.999,False
z201,201,in_single_input_module,-0.0869795480038837,3.5925263348780097e-08,0.0869795480038837,-0.09493707619624057,1.7870989637001432e-09,0.09493707619624057,0.0,0.0,True
z204,204,in_single_input_module,-0.09283216525059136,4.051140679133945e-09,0.09283216525059136,-0.10710383012284933,1.1115385840631356e-11,0.10710383012284933,0.0,0.0,True
z207,207,in_single_input_module,-0.11432457168095604,4.105143721586795e-13,0.11432457168095604,-0.12342092777159275,4.7503855487114236e-15,0.12342092777159275,0.0,0.0,True
z212,212,in_single_input_module,-0.14676467179996824,1.059976436395389e-20,0.14676467179996824,-0.1662663881318494,3.457507410582705e-26,0.1662663881318494,0.0,0.0,True
z217,217,in_single_input_module,-0.12022227132552946,2.368920658814752e-14,0.12022227132552946,-0.13005358027536035,1.4834148612263711e-16,0.13005358027536035,0.0,0.0,True
z224,224,in_single_input_module,-0.027531438556553548,0.08167887363742443,0.027531438556553548,0.00039638813898933405,0.9800055480032382,0.00039638813898933405,0.986,0.999,False
z225,225,in_single_input_module,-0.06784221475920252,1.752253617815603e-05,0.06784221475920252,-0.07757864330599554,8.997970363165639e-07,0.07757864330599554,0.0,0.0,True
z235,235,in_single_input_module,-0.07602711922719899,1.4805555602941923e-06,0.07602711922719899,-0.08787540917633466,2.595148060873444e-08,0.08787540917633466,0.0,0.0,True
z237,237,in_single_input_module,-0.11442199540006467,3.920738122419723e-13,0.11442199540006467,-0.12377468085534216,3.9666970414015125e-15,0.12377468085534216,0.0,0.0,True
z239,239,in_single_input_module,-0.08558609316769639,5.9201254257804645e-08,0.08558609316769639,-0.08684249190165017,3.77472510761521e-08,0.08684249190165017,0.0,0.0,True
z244,244,in_single_input_module,-0.1288411015503883,2.8338642949583624e-16,0.1288411015503883,-0.14611804341844065,1.567441451423426e-20,0.14611804341844065,0.0,0.0,True
z252,252,in_single_input_module,-0.08569519419928749,5.694651645539733e-08,0.08569519419928749,-0.08804038618442796,2.4434374912810448e-08,0.08804038618442796,0.0,0.0,True
z8,8,in_cascade,-0.07865742754959602,6.329055122313195e-07,0.07865742754959602,1.1731965403137708e-05,0.9994081590198824,1.1731965403137708e-05,1.0,,
z9,9,in_cascade,-0.058406834510233215,0.00021904598774827094,0.058406834510233215,-7.943274215390685e-06,0.9995992866268454,7.943274215390685e-06,1.0,,
z36,36,in_cascade,-0.0831246845678685,1.4039051520353846e-07,0.0831246845678685,-4.094708721105213e-05,0.9979343495692796,4.094708721105213e-05,0.999,0.999,False
z37,37,in_cascade,-0.06959433948770302,1.0554070812764084e-05,0.06959433948770302,3.7644095696549515e-05,0.9981009746668369,3.7644095696549515e-05,1.0,,
z43,43,in_cascade,-0.011183005729381643,0.4795189784073984,0.011183005729381643,-1.0614492451864813e-05,0.9994645320281157,1.0614492451864813e-05,1.0,,
z47,47,in_cascade,-0.05853516626240696,0.00021213582695686268,0.05853516626240696,5.819133205770422e-05,0.9970644355567997,5.819133205770422e-05,0.998,0.999,False
z58,58,in_cascade,0.05834818489012304,0.00022227387883604676,0.05834818489012304,3.5738990873841747e-07,0.9999819707946624,3.5738990873841747e-07,1.0,,
z63,63,in_cascade,-0.02107996741477454,0.1825496526721248,0.02107996741477454,-3.675983018861916e-05,0.9981455829782037,3.675983018861916e-05,0.997,0.999,False
z64,64,in_cascade,-0.05790438706395499,0.0002481857169278294,0.05790438706395499,0.00013100353682943267,0.9933913560179458,0.00013100353682943267,0.998,0.999,False
z65,65,in_cascade,0.09908339020813947,3.3839093583002853e-10,0.09908339020813947,7.380876849861356e-06,0.9996276578151387,7.380876849861356e-06,1.0,,
z71,71,in_cascade,-0.04250562044396315,0.007173808105246623,0.04250562044396315,-6.966774929337109e-05,0.9964854908700719,6.966774929337109e-05,0.998,0.999,False
z73,73,in_cascade,-0.0584122149456466,0.000218752079005986,0.0584122149456466,1.5595901731746756e-05,0.9992132355662096,1.5595901731746756e-05,0.999,0.999,False
z77,77,in_cascade,-0.06891977586363172,1.2847002326332294e-05,0.06891977586363172,-1.8287333916379434e-05,0.9990774612915799,1.8287333916379434e-05,0.999,0.999,False
